yearmonth,view,executeCount,userCount
200807,org.eclipse.hyades.trace.internal.ui.PDProjectExplorer,856,113
200807,org.eclipse.hyades.trace.views.adapter.internal.CoverageStatisticViewer,28,9
200807,org.eclipse.hyades.trace.views.adapter.internal.ExecutionStatisticViewer2,534,69
200807,org.eclipse.hyades.trace.views.adapter.internal.MemoryStatisticViewer,50,13
200807,org.eclipse.hyades.trace.views.adapter.internal.PatternViewer,70,28
200807,org.eclipse.hyades.trace.views.adapter.internal.ReferenceTableViewer,29,11
200807,org.eclipse.hyades.uml2sd.trace.view.TraceSDView,27,5
200807,org.eclipse.images.views.ImageView,3,1
200807,org.eclipse.jdt.astview.views.ASTView,16,3
200807,org.eclipse.jdt.callhierarchy.view,9704,1501
200807,org.eclipse.jdt.debug.ui.DisplayView,635,199
200807,org.eclipse.jdt.junit.ResultView,34838,2897
200807,org.eclipse.jdt.ui.JavadocView,5356,2834
200807,org.eclipse.jdt.ui.MembersView,1200,202
200807,org.eclipse.jdt.ui.PackageExplorer,471471,21073
200807,org.eclipse.jdt.ui.PackagesView,1706,297
200807,org.eclipse.jdt.ui.ProjectsView,1999,480
200807,org.eclipse.jdt.ui.SourceView,3933,2286
200807,org.eclipse.jdt.ui.TypeHierarchy,11121,3913
200807,org.eclipse.jdt.ui.TypesView,2729,277
